videoId,category,categoryLabel,method,metric,value
video_002,celebration_movements,Celebration,current_solution_raw,SOAx,1.7812020427458557
video_002,celebration_movements,Celebration,current_solution_raw,HJL,0.0
video_002,celebration_movements,Celebration,current_solution_raw,WOM,0.6875
video_002,celebration_movements,Celebration,current_solution_raw,HJAr,0.0030678504950401456
video_002,celebration_movements,Celebration,current_solution_raw,TSE,0.6157195087265119
video_002,celebration_movements,Celebration,current_solution_raw,SYN,0.6375811543645735
video_002,celebration_movements,Celebration,ikpy,EEAr,1.3816699732542708
video_002,celebration_movements,Celebration,ikpy,SOAx,1.8146120556296852
video_002,celebration_movements,Celebration,ikpy,HJL,0.0
video_002,celebration_movements,Celebration,ikpy,WOM,0.10416666666666666
video_002,celebration_movements,Celebration,ikpy,HJAr,0.11531407604511701
video_002,celebration_movements,Celebration,ikpy,TSE,4.927222473264348
video_002,celebration_movements,Celebration,ikpy,SYN,0.30211795878481756
video_002,celebration_movements,Celebration,original_solution,EEAr,1.3719764135011505
video_002,celebration_movements,Celebration,original_solution,SOAx,1.7812020427458557
video_002,celebration_movements,Celebration,original_solution,HJL,0.0
video_002,celebration_movements,Celebration,original_solution,WOM,0.5
video_002,celebration_movements,Celebration,original_solution,HJAr,0.0030678504950401447
video_002,celebration_movements,Celebration,original_solution,TSE,0.6157195087265109
video_002,celebration_movements,Celebration,original_solution,SYN,0.6375811543645737
video_003,celebration_movements,Celebration,current_solution_constrained,EEAr,1.505645914069678
video_003,celebration_movements,Celebration,current_solution_constrained,SOAx,1.9032174685179526
video_003,celebration_movements,Celebration,current_solution_constrained,HJL,0.0
video_003,celebration_movements,Celebration,current_solution_constrained,WOM,0.9166666666666667
video_003,celebration_movements,Celebration,current_solution_constrained,HJAr,0.0054009657086989404
video_003,celebration_movements,Celebration,current_solution_constrained,TSE,0.3054474781039626
video_003,celebration_movements,Celebration,current_solution_constrained,SYN,0.5532207378888712
video_003,celebration_movements,Celebration,current_solution_raw,EEAr,1.505645914069678
video_003,celebration_movements,Celebration,current_solution_raw,SOAx,1.9032174685179526
video_003,celebration_movements,Celebration,current_solution_raw,HJL,0.0
video_003,celebration_movements,Celebration,current_solution_raw,WOM,0.9166666666666667
video_003,celebration_movements,Celebration,current_solution_raw,HJAr,0.0054009657086989404
video_003,celebration_movements,Celebration,current_solution_raw,TSE,0.3054474781039626
video_003,celebration_movements,Celebration,current_solution_raw,SYN,0.5532207378888712
video_003,celebration_movements,Celebration,ikpy,EEAr,1.6027870355553726
video_003,celebration_movements,Celebration,ikpy,SOAx,1.9183462159949567
